Epoch,Accuracy,Loss,Rate
0,0.324999988,1.631237745,0.000999945
1,0.487500012,1.462853074,0.000999778
2,0.487500012,1.286931515,0.0009995
3,0.600000024,1.141622305,0.000999112
4,0.612500012,1.041087151,0.000998613
5,0.625,0.946207225,0.000998003
6,0.587499976,0.87876755,0.000997282
7,0.649999976,0.779690266,0.000996452
8,0.662500024,0.753910244,0.000995511
9,0.649999976,0.687846422,0.00099446
10,0.662500024,0.627006233,0.000993299
11,0.6875,0.524935186,0.000992029
12,0.675000012,0.490289479,0.00099065
13,0.675000012,0.51348871,0.000989163
14,0.675000012,0.453667969,0.000987566
15,0.662500024,0.425351322,0.000985862
16,0.649999976,0.36198318,0.000984051
17,0.675000012,0.359926462,0.000982132
18,0.662500024,0.270067096,0.000980107
19,0.649999976,0.296666443,0.000977975
20,0.6875,0.271015584,0.000975738
21,0.662500024,0.293615103,0.000973396
22,0.6875,0.256838292,0.00097095
23,0.675000012,0.20821628,0.000968399
24,0.662500024,0.215586081,0.000965746
25,0.637499988,0.244228154,0.00096299
26,0.6875,0.149835333,0.000960131
27,0.649999976,0.187820286,0.000957172
28,0.649999976,0.208037317,0.000954112
29,0.612500012,0.195682764,0.000950953
30,0.649999976,0.165899977,0.000947695
31,0.662500024,0.188640907,0.000944338
32,0.675000012,0.133541137,0.000940884
33,0.662500024,0.145739287,0.000937334
34,0.649999976,0.146044523,0.000933688
35,0.625,0.171836048,0.000929948
36,0.637499988,0.18640092,0.000926113
37,0.612500012,0.199111164,0.000922186
38,0.637499988,0.18546246,0.000918167
39,0.625,0.15844968,0.000914058
40,0.637499988,0.110694997,0.000909858
41,0.612500012,0.153326109,0.00090557
42,0.637499988,0.157328635,0.000901194
43,0.625,0.117195144,0.000896731
44,0.612500012,0.135912612,0.000892183
45,0.662500024,0.125925019,0.00088755
46,0.625,0.146452218,0.000882834
47,0.737500012,0.127470657,0.000878036
48,0.712499976,0.130941883,0.000873157
49,0.6875,0.102694504,0.000868198
50,0.637499988,0.138025075,0.000863161
51,0.649999976,0.085079104,0.000858046
52,0.637499988,0.094436616,0.000852856
53,0.625,0.13474831,0.00084759
54,0.612500012,0.124056406,0.000842252
55,0.625,0.079454161,0.000836841
56,0.612500012,0.165732726,0.000831359
57,0.574999988,0.084771365,0.000825808
58,0.612500012,0.10388317,0.000820189
59,0.612500012,0.055330556,0.000814503
60,0.625,0.138862744,0.000808752
61,0.612500012,0.064390309,0.000802938
62,0.637499988,0.125028163,0.00079706
63,0.625,0.098463736,0.000791122
64,0.612500012,0.092878096,0.000785124
65,0.649999976,0.071240887,0.000779069
66,0.637499988,0.097430848,0.000772956
67,0.625,0.09057232,0.000766789
68,0.612500012,0.082369074,0.000760568
69,0.600000024,0.066155374,0.000754296
70,0.587499976,0.116722822,0.000747973
71,0.637499988,0.065814674,0.000741601
72,0.637499988,0.078519225,0.000735181
73,0.612500012,0.072892494,0.000728717
74,0.625,0.105880655,0.000722208
75,0.600000024,0.072662011,0.000715656
76,0.612500012,0.110898606,0.000709064
77,0.625,0.093722552,0.000702432
78,0.637499988,0.055229146,0.000695763
79,0.662500024,0.060550861,0.000689058
80,0.637499988,0.122187443,0.000682318
81,0.600000024,0.068641417,0.000675546
82,0.587499976,0.101558648,0.000668743
83,0.600000024,0.086737156,0.00066191
84,0.612500012,0.086160675,0.00065505
85,0.649999976,0.090185657,0.000648164
86,0.612500012,0.095927894,0.000641254
87,0.587499976,0.074469008,0.000634322
88,0.612500012,0.090104483,0.000627368
89,0.612500012,0.050730798,0.000620396
90,0.625,0.102389827,0.000613406
91,0.649999976,0.058650538,0.0006064
92,0.649999976,0.043117236,0.00059938
93,0.649999976,0.082905881,0.000592349
94,0.662500024,0.042228535,0.000585307
95,0.625,0.08056283,0.000578256
96,0.625,0.06253767,0.000571198
97,0.637499988,0.066842854,0.000564135
98,0.637499988,0.103495322,0.000557068
99,0.662500024,0.067512587,0.00055
100,0.637499988,0.038685206,0.000542932
101,0.637499988,0.071778037,0.000535865
102,0.637499988,0.073917642,0.000528802
103,0.612500012,0.055380855,0.000521744
104,0.612500012,0.03434778,0.000514693
105,0.600000024,0.079297401,0.000507651
106,0.637499988,0.062742651,0.00050062
107,0.625,0.057680588,0.0004936
108,0.649999976,0.094984166,0.000486594
