Epoch,Accuracy,Loss,Rate
145,0.606060624,0.02867787,0.00025241
146,0.575757563,0.01698021,0.000247144
147,0.590909064,0.036380325,0.000241954
148,0.606060624,0.037705321,0.000236839
149,0.636363626,0.030985419,0.000231802
150,0.621212125,0.037165578,0.000226843
151,0.621212125,0.034108493,0.000221964
152,0.606060624,0.030886725,0.000217166
153,0.621212125,0.044858735,0.00021245
154,0.621212125,0.027460631,0.000207817
155,0.621212125,0.019758672,0.000203269
156,0.651515126,0.033180606,0.000198806
157,0.636363626,0.026831314,0.00019443
158,0.621212125,0.033227652,0.000190142
159,0.621212125,0.045474183,0.000185942
160,0.621212125,0.014680257,0.000181833
161,0.621212125,0.014955663,0.000177814
162,0.621212125,0.03857252,0.000173887
163,0.636363626,0.031617917,0.000170052
164,0.621212125,0.043824546,0.000166312
165,0.636363626,0.022744216,0.000162666
166,0.621212125,0.042238045,0.000159116
167,0.636363626,0.053188656,0.000155662
168,0.606060624,0.04763234,0.000152305
169,0.606060624,0.027655998,0.000149047
170,0.621212125,0.030349119,0.000145888
171,0.606060624,0.052560795,0.000142828
172,0.651515126,0.020035328,0.000139869
173,0.575757563,0.038044568,0.00013701
174,0.621212125,0.025961902,0.000134254
175,0.621212125,0.023405094,0.000131601
176,0.621212125,0.029341312,0.00012905
177,0.651515126,0.030355295,0.000126604
178,0.636363626,0.023722157,0.000124262
179,0.636363626,0.027271088,0.000122025
180,0.636363626,0.026602747,0.000119893
181,0.606060624,0.020993002,0.000117868
182,0.636363626,0.041998241,0.000115949
183,0.651515126,0.045890283,0.000114138
184,0.651515126,0.020223288,0.000112434
185,0.621212125,0.04526338,0.000110837
186,0.621212125,0.03373608,0.00010935
187,0.606060624,0.073184557,0.000107971
188,0.636363626,0.05350716,0.000106701
189,0.636363626,0.031190209,0.00010554
190,0.621212125,0.060160667,0.000104489
191,0.621212125,0.021525858,0.000103548
192,0.636363626,0.029141247,0.000102718
193,0.606060624,0.018507678,0.000101997
194,0.621212125,0.036548246,0.000101387
195,0.590909064,0.040249798,0.000100888
196,0.606060624,0.037441526,0.0001005
197,0.606060624,0.019327205,0.000100222
198,0.606060624,0.022821613,0.000100056
199,0.606060624,0.034636974,1.00E-04
